Intermediate,Week,WeekStart,Qty
TSP-623,30,2026-07-20 00:00:00,0
TSP-623,31,2026-07-27 00:00:00,0
TSP-623,32,2026-08-03 00:00:00,0
TSP-623,33,2026-08-10 00:00:00,0
TSP-623,34,2026-08-17 00:00:00,0
TSP-623,35,2026-08-24 00:00:00,0
TSP-655,19,2026-05-04 00:00:00,0
TSP-655,20,2026-05-11 00:00:00,3.5043861134631666
TSP-655,21,2026-05-18 00:00:00,2.503132938187976
TSP-655,22,2026-05-25 00:00:00,4.255325994919559
TSP-655,23,2026-06-01 00:00:00,0
TSP-655,24,2026-06-08 00:00:00,10.012531752751904
TSP-655,25,2026-06-15 00:00:00,0
TSP-655,26,2026-06-22 00:00:00,5.006265876375952
TSP-655,27,2026-06-29 00:00:00,3.754699407281964
TSP-655,28,2026-07-06 00:00:00,0
TSP-655,29,2026-07-13 00:00:00,5.006265876375952
TSP-655,30,2026-07-20 00:00:00,3.754699407281964
TSP-655,31,2026-07-27 00:00:00,3.754699407281964
TSP-655,32,2026-08-03 00:00:00,3.754699407281964
TSP-655,33,2026-08-10 00:00:00,5.006265876375952
TSP-655,34,2026-08-17 00:00:00,3.754699407281964
TSP-655,35,2026-08-24 00:00:00,0
TSP-656,19,2026-05-04 00:00:00,0
TSP-656,20,2026-05-11 00:00:00,1.8856421632372067
TSP-656,21,2026-05-18 00:00:00,1.3468872594551475
TSP-656,22,2026-05-25 00:00:00,2.289708341073751
TSP-656,23,2026-06-01 00:00:00,0
TSP-656,24,2026-06-08 00:00:00,5.38754903782059
TSP-656,25,2026-06-15 00:00:00,0
TSP-656,26,2026-06-22 00:00:00,2.693774518910295
TSP-656,27,2026-06-29 00:00:00,2.0203308891827216
TSP-656,28,2026-07-06 00:00:00,0
TSP-656,29,2026-07-13 00:00:00,2.693774518910295
TSP-656,30,2026-07-20 00:00:00,2.0203308891827216
TSP-656,31,2026-07-27 00:00:00,2.0203308891827216
TSP-656,32,2026-08-03 00:00:00,2.0203308891827216
TSP-656,33,2026-08-10 00:00:00,2.693774518910295
TSP-656,34,2026-08-17 00:00:00,2.0203308891827216
TSP-656,35,2026-08-24 00:00:00,0
TSP-665,19,2026-05-04 00:00:00,0
TSP-665,20,2026-05-11 00:00:00,0
TSP-665,21,2026-05-18 00:00:00,0
TSP-665,22,2026-05-25 00:00:00,0
TSP-665,23,2026-06-01 00:00:00,0
TSP-665,24,2026-06-08 00:00:00,0
TSP-665,25,2026-06-15 00:00:00,0
TSP-665,26,2026-06-22 00:00:00,0
TSP-665,27,2026-06-29 00:00:00,0
TSP-665,28,2026-07-06 00:00:00,0
TSP-665,29,2026-07-13 00:00:00,0
TSP-665,30,2026-07-20 00:00:00,0
TSP-665,31,2026-07-27 00:00:00,0
