RM_Code,PO_No,Confirmed_Qty,Latest_ETA,Received_Date,Status
1EK,,6720,2026-03-06,2026-03-11,TTAF Stock
1EK,,160,2026-02-16,2026-02-16,TTAF Stock
1EK,,474,2026-03-06,2026-03-11,TTAF Stock
7CL,,1620,2026-02-16,2026-02-17,TTAF Stock
9RN,PO066735,19206,2026-01-11,2026-01-19,TTAF Stock
9RN,PO066735,15642,2026-01-11,2026-01-19,TTAF Stock
F2290,PO066735,1980,2026-01-11,2026-01-19,TTAF Stock
0JN,PO066755,1584,2026-01-25,2026-01-27,TTAF Stock
0JN,PO066755,18530,2026-02-23,2026-02-26,TTAF Stock
CHEM-1240,PO066939,880,2026-02-15,2026-02-19,TTAF Stock
CHEM-1250,PO066939,50,2026-02-15,2026-02-19,TTAF Stock
CHEM-1400,PO066939,250,2026-02-15,2026-02-19,TTAF Stock
CHEM-1420,PO066939,240,2026-02-15,2026-02-19,TTAF Stock
CHEM-1440,PO066939,200,2026-02-15,2026-02-19,TTAF Stock
CHEM-1540,PO066939,2500,2026-02-15,2026-02-19,TTAF Stock
